,Name,Platform,Genre,Publisher,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Game_Age
0,Wii Sports,Wii,Sports,Nintendo,82.53,76.0,51.0,8,322.0,Nintendo,E,10.0
2,Mario Kart Wii,Wii,Racing,Nintendo,35.52,82.0,73.0,8.3,709.0,Nintendo,E,8.0
3,Wii Sports Resort,Wii,Sports,Nintendo,32.77,80.0,73.0,8,192.0,Nintendo,E,7.0
6,New Super Mario Bros.,DS,Platform,Nintendo,29.8,89.0,65.0,8.5,431.0,Nintendo,E,10.0
7,Wii Play,Wii,Misc,Nintendo,28.92,58.0,41.0,6.6,129.0,Nintendo,E,10.0
8,New Super Mario Bros. Wii,Wii,Platform,Nintendo,28.32,87.0,80.0,8.4,594.0,Nintendo,E,7.0
11,Mario Kart DS,DS,Racing,Nintendo,23.21,91.0,64.0,8.6,464.0,Nintendo,E,11.0
13,Wii Fit,Wii,Sports,Nintendo,22.7,80.0,63.0,7.7,146.0,Nintendo,E,9.0
14,Kinect Adventures!,X360,Misc,Microsoft Game Studios,21.81,61.0,45.0,6.3,106.0,Good Science Studio,E,6.0
15,Wii Fit Plus,Wii,Sports,Nintendo,21.79,80.0,33.0,7.4,52.0,Nintendo,E,7.0
16,Grand Theft Auto V,PS3,Action,Take-Two Interactive,21.04,97.0,50.0,8.2,3994.0,Rockstar North,M,3.0
17,Grand Theft Auto: San Andreas,PS2,Action,Take-Two Interactive,20.81,95.0,80.0,9,1588.0,Rockstar North,M,12.0
19,Brain Age: Train Your Brain in Minutes a Day,DS,Misc,Nintendo,20.15,77.0,58.0,7.9,50.0,Nintendo,E,11.0
23,Grand Theft Auto V,X360,Action,Take-Two Interactive,16.27,97.0,58.0,8.1,3711.0,Rockstar North,M,3.0
24,Grand Theft Auto: Vice City,PS2,Action,Take-Two Interactive,16.15,95.0,62.0,8.7,730.0,Rockstar North,M,14.0
26,Brain Age 2: More Training in Minutes a Day,DS,Puzzle,Nintendo,15.29,77.0,37.0,7.1,19.0,Nintendo,E,11.0
28,Gran Turismo 3: A-Spec,PS2,Racing,Sony Computer Entertainment,14.98,95.0,54.0,8.4,314.0,Polyphony Digital,E,15.0
29,Call of Duty: Modern Warfare 3,X360,Shooter,Activision,14.73,88.0,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M,5.0
32,Call of Duty: Black Ops,X360,Shooter,Activision,14.61,87.0,89.0,6.3,1454.0,Treyarch,M,6.0
34,Call of Duty: Black Ops II,PS3,Shooter,Activision,13.79,83.0,21.0,5.3,922.0,Treyarch,M,4.0
35,Call of Duty: Black Ops II,X360,Shooter,Activision,13.67,83.0,73.0,4.8,2256.0,Treyarch,M,4.0
36,Call of Duty: Modern Warfare 2,X360,Shooter,Activision,13.47,94.0,100.0,6.3,2698.0,Infinity Ward,M,7.0
37,Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,13.32,88.0,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M,5.0
38,Grand Theft Auto III,PS2,Action,Take-Two Interactive,13.1,97.0,56.0,8.5,664.0,DMA Design,M,15.0
39,Super Smash Bros. Brawl,Wii,Fighting,Nintendo,12.84,93.0,81.0,8.9,1662.0,Game Arts,T,8.0
40,Mario Kart 7,3DS,Racing,Nintendo,12.66,85.0,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E,5.0
41,Call of Duty: Black Ops,PS3,Shooter,Activision,12.63,88.0,58.0,6.4,1094.0,Treyarch,M,6.0
42,Grand Theft Auto V,PS4,Action,Take-Two Interactive,12.61,97.0,66.0,8.3,2899.0,Rockstar North,M,2.0
43,Animal Crossing: Wild World,DS,Simulation,Nintendo,12.13,86.0,57.0,8.7,242.0,Nintendo,E,11.0
44,Halo 3,X360,Shooter,Microsoft Game Studios,12.12,94.0,86.0,7.8,4100.0,"Bungie Software, Bungie",M,9.0
48,Gran Turismo 4,PS2,Racing,Sony Computer Entertainment,11.66,89.0,74.0,8.5,272.0,Polyphony Digital,E,12.0
49,Super Mario Galaxy,Wii,Platform,Nintendo,11.35,97.0,73.0,8.9,2147.0,Nintendo,E,9.0
51,Grand Theft Auto IV,X360,Action,Take-Two Interactive,11.01,98.0,86.0,7.9,2951.0,Rockstar North,M,8.0
52,Gran Turismo,PS,Racing,Sony Computer Entertainment,10.95,96.0,16.0,8.7,138.0,Polyphony Digital,E,19.0
53,Super Mario 3D Land,3DS,Platform,Nintendo,10.81,90.0,82.0,8.4,921.0,Nintendo,E,5.0
54,Gran Turismo 5,PS3,Racing,Sony Computer Entertainment,10.7,84.0,82.0,7.5,1112.0,Polyphony Digital,E,6.0
55,Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,7.0
